hs5	140332843	140346603	HBEGF
hs19	7688758	7702146	FCER2
hs12	5948877	6124770	VWF
hs19	54816468	54830778	KIR3DL1
hs13	28003274	28100592	FLT3
hs16	57358783	57366189	CCL22
hs4	6693878	6697170	S100P
hs17	44345246	44353106	GRN
hs9	128149071	128153453	LCN2
hs9	5510531	5571282	PDCD1LG2
hs10	44370165	44386493	CXCL12
hs19	54307070	54313166	LILRA5
hs20	50190830	50192668	CEBPB
hs1	27612064	27635185	FGR
hs1	231363751	231422287	EGLN1
hs17	50184101	50201632	COL1A1
hs1	158289923	158294774	CD1C
hs4	105145875	105279816	TET2
hs19	7669049	7670455	RETN
hs8	6996766	6999198	DEFA1B
hs19	7739993	7747564	CD209
hs1	235975830	236065109	NID1
hs16	31259967	31332892	ITGAM
hs13	108251240	108308484	TNFSF13B
hs19	18391137	18397622	LRRC25
hs5	54977867	55022671	ESM1
hs1	153373711	153375621	S100A12
hs12	88492793	88580851	KITLG
hs1	1751232	1780457	NADK
hs19	51517819	51531856	SIGLEC6
hs16	2712419	2720551	PRSS27
hs19	51142299	51153526	SIGLEC7
hs14	20891385	20892348	RNASE3
hs17	36103827	36105621	CCL4
hs19	49474207	49486231	FLT3LG
hs12	7729383	7751605	CLEC4C
hs19	39731255	39738029	CLC
hs19	54617158	54638022	LILRB1
hs19	54738513	54753052	KIR2DL3
hs8	6977649	6980092	DEFA1
hs21	25880550	26171128	APP
hs19	54273812	54281184	LILRB2
